1955,1
1956,2
1957,2
1958,1
1959,4
1960,3
1961,1
1962,2
1963,5
1964,4
1965,14
1966,13
1967,20
1968,21
1969,22
1970,26
1971,21
1972,24
1973,23
1974,14
1975,18
1976,12
1977,18
1978,16
1979,14
1980,9
1981,6
1982,6
1983,6
1984,10
1985,11
1986,9
1987,12
1988,6
1989,10
1990,5
1991,13
1992,6
1993,6
1994,16
1995,5
1996,4
1997,6
1998,5
1999,6
2000,7
2001,9
2002,7
2003,4
2004,2
2005,2
2006,3
2007,5
2008,1
2010,1
2011,1
